section;item_type;scene_no;scene_title;context;prompt;option_no;option_text;style;weight;comment;profile_id;profile_title;profile_part;profile_text;cta_block;cta_field;cta_text;editor_comment
simulator;option;3;Обратная связь сотруднику;Вы ведете маленькую команду. Один из сотрудников силен технически, но на встречах говорит резко и демотивирует коллег.;Сотрудник: «Если люди обижаются на прямоту, это не моя проблема. Я просто говорю как есть».;3;«Прямота сама по себе не проблема. Проблема в том, что после твоих комментариев люди замолкают и перестают обсуждать риски».;Зрелый;3;Вы отделяете качество человека от эффекта его поведения и даете конкретную обратную связь.;;;;;;;;
simulator;option;3;Обратная связь сотруднику;Вы ведете маленькую команду. Один из сотрудников силен технически, но на встречах говорит резко и демотивирует коллег.;Сотрудник: «Если люди обижаются на прямоту, это не моя проблема. Я просто говорю как есть».;4;«Мне нужен не более мягкий стиль ради вежливости, а такой способ говорить, после которого люди продолжают работать, а не закрываются».;Зрелый;2;Вы переводите разговор с морали на результат и задаете взрослую рамку ожиданий.;;;;;;;;
simulator;option;4;Когда вас перебивают;На встрече вы начинаете предлагать решение, но коллега перебивает на полуслове и с усмешкой говорит, что это «слишком академично для реальной жизни».;Коллега: «Давайте ближе к реальности. Теория сейчас не поможет».;1;«Хорошо, можете продолжать. Я потом, если что, допишу мысль в чат».;Избегающий;3;Вы сохраняете внешнюю вежливость, но фактически соглашаетесь на вытеснение себя из разговора.;;;;;;;;
simulator;option;4;Когда вас перебивают;На встрече вы начинаете предлагать решение, но коллега перебивает на полуслове и с усмешкой говорит, что это «слишком академично для реальной жизни».;Коллега: «Давайте ближе к реальности. Теория сейчас не поможет».;2;«Если бы вы дали договорить, возможно, услышали бы что-то полезное».;Защитный;3;Вы защищаете границу, но делаете это с уколом. Напряжение растет быстрее, чем шанс быть услышанным.;;;;;;;;
simulator;option;4;Когда вас перебивают;На встрече вы начинаете предлагать решение, но коллега перебивает на полуслове и с усмешкой говорит, что это «слишком академично для реальной жизни».;Коллега: «Давайте ближе к реальности. Теория сейчас не поможет».;3;«Я закончу мысль за 20 секунд и привяжу ее к текущему риску. Потом обсудим, насколько это применимо».;Зрелый;3;Вы возвращаете себе место в диалоге спокойно и конкретно, без оправданий и без нападения.;;;;;;;;
simulator;option;4;Когда вас перебивают;На встрече вы начинаете предлагать решение, но коллега перебивает на полуслове и с усмешкой говорит, что это «слишком академично для реальной жизни».;Коллега: «Давайте ближе к реальности. Теория сейчас не поможет».;4;«Сейчас для меня важно договорить. Иначе мы оцениваем идею, которой еще не было в полном виде».;Зрелый;2;Вы называете границу прямо и удерживаете уважительный тон даже в неприятный момент.;;;;;;;;
simulator;option;5;Отстоять границы;Коллега уже третий раз за неделю пишет поздно вечером с пометкой «срочно», хотя вопрос не критичный и может подождать до утра.;Коллега: «Мне нужно, чтобы ты посмотрел это сегодня. Завтра я уже не влезу в график».;1;«Хорошо, посмотрю ночью, чтобы не тормозить тебя».;Избегающий;3;Вы сохраняете отношения, но делаете это за счет собственных границ и создаете опасный стандарт.;;;;;;;;
simulator;option;5;Отстоять границы;Коллега уже третий раз за неделю пишет поздно вечером с пометкой «срочно», хотя вопрос не критичный и может подождать до утра.;Коллега: «Мне нужно, чтобы ты посмотрел это сегодня. Завтра я уже не влезу в график».;2;«Нет. Мои вечера не для того, чтобы спасать чужой плохой тайм-менеджмент».;Защитный;3;Граница есть, но форма делает ее карательной. После такого люди часто слышат не суть, а нападение.;;;;;;;;
simulator;option;5;Отстоять границы;Коллега уже третий раз за неделю пишет поздно вечером с пометкой «срочно», хотя вопрос не критичный и может подождать до утра.;Коллега: «Мне нужно, чтобы ты посмотрел это сегодня. Завтра я уже не влезу в график».;3;«Сегодня я уже не подключусь. Если это действительно критично для дедлайна, давай с утра в первую очередь посмотрим вместе 15 минут».;Зрелый;3;Вы не жертвуете собой и одновременно предлагаете реалистичный способ помочь.;;;;;;;;
simulator;option;5;Отстоять границы;Коллега уже третий раз за неделю пишет поздно вечером с пометкой «срочно», хотя вопрос не критичный и может подождать до утра.;Коллега: «Мне нужно, чтобы ты посмотрел это сегодня. Завтра я уже не влезу в график».;4;«Мне важно не брать вечерние задачи вне форс-мажора. Если такие запросы повторяются, давай отдельно договоримся, как их предупреждать заранее».;Зрелый;2;Вы выстраиваете не только разовый отказ, но и правила взаимодействия на будущее.;;;;;;;;
simulator;option;6;Срыв дедлайна;За день до релиза становится ясно, что вы не успеваете закрыть важный блок. Команда рассчитывает, что вы дотянете молча и без лишнего шума.;Коллега: «Давай просто не будем сейчас поднимать тревогу. Может, успеешь в последний момент».;1;«Хорошо, попробую как-нибудь дотянуть, а там посмотрим по ситуации».;Избегающий;3;Вы выбираете отсрочку неприятного разговора, но повышаете риск более болезненного провала позже.;;;;;;;;
simulator;option;6;Срыв дедлайна;За день до релиза становится ясно, что вы не успеваете закрыть важный блок. Команда рассчитывает, что вы дотянете молча и без лишнего шума.;Коллега: «Давай просто не будем сейчас поднимать тревогу. Может, успеешь в последний момент».;2;«Если бы все нормально сделали свою часть раньше, сейчас не пришлось бы надеяться на чудо».;Защитный;3;Вы снимаете с себя давление через атаку на других, но это не помогает управлять риском.;;;;;;;;
simulator;option;6;Срыв дедлайна;За день до релиза становится ясно, что вы не успеваете закрыть важный блок. Команда рассчитывает, что вы дотянете молча и без лишнего шума.;Коллега: «Давай просто не будем сейчас поднимать тревогу. Может, успеешь в последний момент».;3;«Сейчас уже видно, что без пересмотра объема мы не успеваем. Лучше честно зафиксировать риск и решить, что переносим».;Зрелый;3;Вы удерживаете реальность и переводите тревогу в управленческое решение, а не в надежду.;;;;;;;;
simulator;option;6;Срыв дедлайна;За день до релиза становится ясно, что вы не успеваете закрыть важный блок. Команда рассчитывает, что вы дотянете молча и без лишнего шума.;Коллега: «Давай просто не будем сейчас поднимать тревогу. Может, успеешь в последний момент».;4;«Я не хочу обещать то, что под вопросом. Давайте сейчас согласуем минимальный безопасный объем на релиз».;Зрелый;2;Вы не прячетесь за оптимизмом и предлагаете конкретную рамку для выхода из ситуации.;;;;;;;;
simulator;option;7;Разговор о повышении;Вы давно взяли на себя задачи следующего уровня, но формально ваша роль и компенсация не изменились.;Руководитель: «Давай вернемся к этому позже. Сейчас не лучший момент для таких разговоров».;1;«Хорошо, не страшно. Тогда, наверное, пока просто оставим как есть».;Избегающий;3;Вы быстро снимаете напряжение, но вместе с ним снимаете и собственный запрос.;;;;;;;;
simulator;option;7;Разговор о повышении;Вы давно взяли на себя задачи следующего уровня, но формально ваша роль и компенсация не изменились.;Руководитель: «Давай вернемся к этому позже. Сейчас не лучший момент для таких разговоров».;2;«Удивительно, что момент никогда не лучший, когда речь заходит о моем пересмотре».;Защитный;2;Вы точно называете повторяющийся паттерн, но в форме упрека, которая увеличивает сопротивление.;;;;;;;;
simulator;option;7;Разговор о повышении;Вы давно взяли на себя задачи следующего уровня, но формально ваша роль и компенсация не изменились.;Руководитель: «Давай вернемся к этому позже. Сейчас не лучший момент для таких разговоров».;3;«Окей, тогда давайте зафиксируем, по каким критериям и в какой срок мы к этому вернемся, чтобы разговор не растворился».;Зрелый;3;Вы не спорите с моментом, но не позволяете теме исчезнуть без договоренности.;;;;;;;;
simulator;option;7;Разговор о повышении;Вы давно взяли на себя задачи следующего уровня, но формально ваша роль и компенсация не изменились.;Руководитель: «Давай вернемся к этому позже. Сейчас не лучший момент для таких разговоров».;4;«Для меня важно обсудить это предметно. Я уже работаю на уровне выше текущей роли, и мне нужен понятный следующий шаг».;Зрелый;2;Вы удерживаете ценность своего запроса без оправданий и лишней жесткости.;;;;;;;;
simulator;option;8;У вас забирают идею;На встрече коллега пересказывает вашу мысль как свою, и обсуждение сразу переключается на него.;Коллега: «Да, я как раз и предлагаю сделать именно так».;1;«Ладно, главное, чтобы решение приняли. Неважно, кто это озвучил».;Избегающий;2;Вы сохраняете внешнюю зрелость, но обесцениваете собственное авторство и позицию.;;;;;;;;
simulator;option;8;У вас забирают идею;На встрече коллега пересказывает вашу мысль как свою, и обсуждение сразу переключается на него.;Коллега: «Да, я как раз и предлагаю сделать именно так».;2;«Вообще-то это буквально то, что я только что сказал, если кто-то слушал».;Защитный;3;Вы защищаете себя, но через публичный укол, из-за чего фокус смещается с идеи на конфликт.;;;;;;;;
simulator;option;8;У вас забирают идею;На встрече коллега пересказывает вашу мысль как свою, и обсуждение сразу переключается на него.;Коллега: «Да, я как раз и предлагаю сделать именно так».;3;«Да, это продолжает мою мысль. Давайте я коротко дострою логику и тогда решим по внедрению».;Зрелый;3;Вы возвращаете себе авторство спокойно и без борьбы за статус в лоб.;;;;;;;;
simulator;option;8;У вас забирают идею;На встрече коллега пересказывает вашу мысль как свою, и обсуждение сразу переключается на него.;Коллега: «Да, я как раз и предлагаю сделать именно так».;4;«Важно не потерять исходную логику. Я ее начал, поэтому за минуту соберу целиком и привяжу к рискам».;Зрелый;2;Вы удерживаете пространство для своей мысли и не даете обсуждению уехать от сути.;;;;;;;;
simulator;option;9;Давление со стороны заказчика;Внутренний заказчик требует ускорить запуск, хотя команда уже предупреждала о рисках качества.;Заказчик: «Мне нужен результат, а не очередной список причин, почему это нельзя сделать быстро».;1;«Понял, тогда постараемся ускориться и просто не будем сейчас углубляться в риски».;Избегающий;3;Вы покупаете краткое облегчение ценой будущих проблем, которые никуда не исчезли.;;;;;;;;
simulator;option;9;Давление со стороны заказчика;Внутренний заказчик требует ускорить запуск, хотя команда уже предупреждала о рисках качества.;Заказчик: «Мне нужен результат, а не очередной список причин, почему это нельзя сделать быстро».;2;«Тогда не удивляйтесь, если потом придется разгребать последствия такого подхода».;Защитный;3;Вы пытаетесь защитить команду, но форма звучит как скрытая угроза, а не как управленческая рамка.;;;;;;;;
simulator;option;9;Давление со стороны заказчика;Внутренний заказчик требует ускорить запуск, хотя команда уже предупреждала о рисках качества.;Заказчик: «Мне нужен результат, а не очередной список причин, почему это нельзя сделать быстро».;3;«Результат важен и для нас. Поэтому предлагаю выбрать: либо быстрый запуск с ограниченным объемом, либо полный объем с текущим сроком».;Зрелый;3;Вы не уходите в оправдания и переводите давление в выбор между понятными опциями.;;;;;;;;
simulator;option;9;Давление со стороны заказчика;Внутренний заказчик требует ускорить запуск, хотя команда уже предупреждала о рисках качества.;Заказчик: «Мне нужен результат, а не очередной список причин, почему это нельзя сделать быстро».;4;«Я не спорю с приоритетом. Хочу только зафиксировать, какой риск вы готовы принять ради скорости».;Зрелый;2;Вы возвращаете разговор к ответственности за решение, а не к эмоциональному нажиму.;;;;;;;;
simulator;option;10;Трение между командами;Смежная команда снова не предупредила об изменениях, из-за чего ваша работа частично пошла впустую.;Представитель другой команды: «Ну, мы же не обязаны согласовывать каждый шаг, у нас и так все горит».;1;«Хорошо, тогда мы просто как-нибудь адаптируемся по ходу, чтобы не раздувать проблему».;Избегающий;2;Вы снижаете напряжение сейчас, но оставляете системную поломку нетронутой.;;;;;;;;
simulator;option;10;Трение между командами;Смежная команда снова не предупредила об изменениях, из-за чего ваша работа частично пошла впустую.;Представитель другой команды: «Ну, мы же не обязаны согласовывать каждый шаг, у нас и так все горит».;2;«Удобная позиция. Вы срываете связку, а адаптироваться почему-то должны мы».;Защитный;3;Вы точно фиксируете перекос, но в форме обвинения, которая затрудняет договоренность.;;;;;;;;
simulator;option;10;Трение между командами;Смежная команда снова не предупредила об изменениях, из-за чего ваша работа частично пошла впустую.;Представитель другой команды: «Ну, мы же не обязаны согласовывать каждый шаг, у нас и так все горит».;3;«Понимаю, что у вас перегруз. Но если изменения влияют на нас, нам нужен хотя бы минимальный сигнал заранее».;Зрелый;3;Вы признаете реальность другой стороны, не жертвуя своей рабочей рамкой.;;;;;;;;
simulator;option;10;Трение между командами;Смежная команда снова не предупредила об изменениях, из-за чего ваша работа частично пошла впустую.;Представитель другой команды: «Ну, мы же не обязаны согласовывать каждый шаг, у нас и так все горит».;4;«Давайте договоримся о простом правиле: если изменение затрагивает интеграцию, вы заранее даете короткое сообщение до внедрения».;Зрелый;2;Вы строите не разовую претензию, а будущий способ взаимодействия.;;;;;;;;
simulator;option;11;Публичная критика;На общем созвоне ваш подход разбирают в жестком тоне, хотя детали можно было обсудить отдельно.;Коллега: «Это решение выглядит сырым. Не понимаю, как его вообще можно было приносить на обсуждение».;1;«Окей, тогда давайте просто снимем этот вопрос с повестки».;Избегающий;2;Вы быстро убираете себя из зоны риска, но отдаете и тему, и позицию.;;;;;;;;
simulator;option;11;Публичная критика;На общем созвоне ваш подход разбирают в жестком тоне, хотя детали можно было обсудить отдельно.;Коллега: «Это решение выглядит сырым. Не понимаю, как его вообще можно было приносить на обсуждение».;2;«Если бы вы посмотрели материалы заранее, не пришлось бы делать такие выводы вслепую».;Защитный;3;Вы защищаете себя, но провоцируете взаимное снижение уважения прямо в группе.;;;;;;;;
simulator;option;11;Публичная критика;На общем созвоне ваш подход разбирают в жестком тоне, хотя детали можно было обсудить отдельно.;Коллега: «Это решение выглядит сырым. Не понимаю, как его вообще можно было приносить на обсуждение».;3;«Готов обсудить слабые места. Давайте только разберем по пунктам, что именно выглядит сырым и чего не хватает для решения».;Зрелый;3;Вы не рушитесь под давлением и переводите обесценивающую оценку в рабочие критерии.;;;;;;;;
simulator;option;11;Публичная критика;На общем созвоне ваш подход разбирают в жестком тоне, хотя детали можно было обсудить отдельно.;Коллега: «Это решение выглядит сырым. Не понимаю, как его вообще можно было приносить на обсуждение».;4;«Если есть критика, давайте сделаем ее предметной. Тогда я смогу доработать решение, а не гадать по общему тону».;Зрелый;2;Вы обозначаете рамку уважительного обсуждения без попытки наказать собеседника.;;;;;;;;
simulator;option;12;На вас вешают лишнее;Поскольку вы надежный человек, коллеги все чаще просят вас закрыть то, что не входит в вашу роль.;Коллега: «Ты же быстро это сделаешь. Для тебя это пять минут, а мне сильно поможет».;1;«Ладно, беру. Не хочу сейчас усложнять разговор из-за мелочи».;Избегающий;3;Вы называете задачу мелочью, но именно из таких уступок и собирается перегруз.;;;;;;;;
simulator;option;12;На вас вешают лишнее;Поскольку вы надежный человек, коллеги все чаще просят вас закрыть то, что не входит в вашу роль.;Коллега: «Ты же быстро это сделаешь. Для тебя это пять минут, а мне сильно поможет».;2;«Удивительно, как быстро чужая задача становится моей, если мне проще отказать не вам, а себе».;Защитный;2;Вы чувствуете перекос верно, но отвечаете через раздражение, а не через ясную границу.;;;;;;;;
simulator;option;12;На вас вешают лишнее;Поскольку вы надежный человек, коллеги все чаще просят вас закрыть то, что не входит в вашу роль.;Коллега: «Ты же быстро это сделаешь. Для тебя это пять минут, а мне сильно поможет».;3;«Сейчас я это не возьму. Если задача реально важна, давай решим, что из моего текущего приоритета тогда снимаем».;Зрелый;3;Вы не оправдываетесь и показываете реальную стоимость дополнительной нагрузки.;;;;;;;;
simulator;option;12;На вас вешают лишнее;Поскольку вы надежный человек, коллеги все чаще просят вас закрыть то, что не входит в вашу роль.;Коллега: «Ты же быстро это сделаешь. Для тебя это пять минут, а мне сильно поможет».;4;«Понимаю, что тебе это поможет. Но мне важно не размывать свои обязательства вне согласованных приоритетов».;Зрелый;2;Вы сохраняете контакт и при этом не раздаете свое время как бесплатный ресурс.;;;;;;;;
simulator;option;13;Признать ошибку без самоунижения;Вы реально допустили ошибку, которая стоила команде времени. Теперь нужно говорить об этом с руководителем.;Руководитель: «Мне важно понять, как это вообще произошло».;1;«Да, это полностью моя вина. Я все испортил и постараюсь просто молча исправить».;Избегающий;2;Вы берете ответственность, но растворяете в ней себя и не помогаете разговору стать конструктивным.;;;;;;;;
simulator;option;13;Признать ошибку без самоунижения;Вы реально допустили ошибку, которая стоила команде времени. Теперь нужно говорить об этом с руководителем.;Руководитель: «Мне важно понять, как это вообще произошло».;2;«Если честно, проблема не только во мне. В этой системе вообще сложно не ошибиться».;Защитный;2;Вы пытаетесь снизить давление, но слишком рано уходите из личной ответственности в объяснения.;;;;;;;;
simulator;option;13;Признать ошибку без самоунижения;Вы реально допустили ошибку, которая стоила команде времени. Теперь нужно говорить об этом с руководителем.;Руководитель: «Мне важно понять, как это вообще произошло».;3;«Ошибка была с моей стороны. Я уже понимаю, в каком месте сломался контроль, и могу предложить, как это закрыть на будущее».;Зрелый;3;Вы признаете факт ошибки без самобичевания и сразу переходите к восстановлению надежности.;;;;;;;;
simulator;option;13;Признать ошибку без самоунижения;Вы реально допустили ошибку, которая стоила команде времени. Теперь нужно говорить об этом с руководителем.;Руководитель: «Мне важно понять, как это вообще произошло».;4;«Хочу честно взять свою часть ответственности и отдельно разобрать, какой процесс сделал такую ошибку вероятной».;Зрелый;2;Вы соединяете личную зрелость и системное мышление, не сваливаясь ни в оправдание, ни в самоуничтожение.;;;;;;;;
simulator;option;14;Размытая постановка задачи;Вам дали задачу в очень общих словах, а теперь раздражаются, что вы не угадали ожидания.;Заказчик: «Ну это же было очевидно. Я думал, ты сам поймешь, что именно нужно».;1;«Понял, тогда в следующий раз просто буду стараться лучше считывать контекст».;Избегающий;2;Вы принимаете на себя невозможное обязательство угадывать вместо прояснения.;;;;;;;;
simulator;option;14;Размытая постановка задачи;Вам дали задачу в очень общих словах, а теперь раздражаются, что вы не угадали ожидания.;Заказчик: «Ну это же было очевидно. Я думал, ты сам поймешь, что именно нужно».;2;«Очевидно было только то, что постановка была слишком расплывчатой».;Защитный;3;Вы точно видите проблему, но отвечаете так, что собеседник слышит прежде всего выпад.;;;;;;;;
simulator;option;14;Размытая постановка задачи;Вам дали задачу в очень общих словах, а теперь раздражаются, что вы не угадали ожидания.;Заказчик: «Ну это же было очевидно. Я думал, ты сам поймешь, что именно нужно».;3;«Похоже, у нас были разные ожидания. Давайте зафиксируем, какие критерии для вас были ключевыми, чтобы дальше не работать на догадках».;Зрелый;3;Вы снимаете ненужную борьбу за виноватого и возвращаете разговор к ясности.;;;;;;;;
simulator;option;14;Размытая постановка задачи;Вам дали задачу в очень общих словах, а теперь раздражаются, что вы не угадали ожидания.;Заказчик: «Ну это же было очевидно. Я думал, ты сам поймешь, что именно нужно».;4;«Мне важно, чтобы такие вещи не оставались на уровне очевидности. Тогда я могу отвечать за результат, а не за угадывание».;Зрелый;2;Вы аккуратно, но твердо задаете рамку взрослой совместной работы.;;;;;;;;
simulator;option;15;Микроменеджмент;Руководитель все чаще перепроверяет ваши действия в мелочах и просит согласовывать то, что раньше было в вашей зоне автономии.;Руководитель: «Просто покажи мне это перед каждым следующим шагом, так будет спокойнее».;1;«Хорошо, без проблем. Раз вам так спокойнее, буду все присылать заранее».;Избегающий;3;Вы снижаете напряжение, но одновременно соглашаетесь на сужение собственной автономии.;;;;;;;;
simulator;option;15;Микроменеджмент;Руководитель все чаще перепроверяет ваши действия в мелочах и просит согласовывать то, что раньше было в вашей зоне автономии.;Руководитель: «Просто покажи мне это перед каждым следующим шагом, так будет спокойнее».;2;«Тогда непонятно, зачем вообще мне доверять эту зону, если вы хотите делать ее вместе со мной».;Защитный;3;Вы называете суть проблемы, но в форме, которая легко считывается как вызов.;;;;;;;;
simulator;option;15;Микроменеджмент;Руководитель все чаще перепроверяет ваши действия в мелочах и просит согласовывать то, что раньше было в вашей зоне автономии.;Руководитель: «Просто покажи мне это перед каждым следующим шагом, так будет спокойнее».;3;«Готов повысить прозрачность, если сейчас это важно. Но хочу понять, где вам нужен контроль, а где можно оставить мне автономию».;Зрелый;3;Вы не отрицаете тревогу руководителя, но не отдаете всю свою субъектность автоматически.;;;;;;;;
simulator;option;15;Микроменеджмент;Руководитель все чаще перепроверяет ваши действия в мелочах и просит согласовывать то, что раньше было в вашей зоне автономии.;Руководитель: «Просто покажи мне это перед каждым следующим шагом, так будет спокойнее».;4;«Давайте договоримся о точках синхронизации, а не о согласовании каждого шага. Так и вам будет спокойнее, и работа не замедлится».;Зрелый;2;Вы переводите контроль в управляемый формат, где сохраняется и доверие, и темп.;;;;;;;;
simulator;option;16;Команда молчит на встречах;На встречах вы видите, что люди не спорят и почти не дают рисков, хотя потом обсуждают их кулуарно.;Коллега после встречи: «Я просто не видел смысла говорить это при всех».;1;«Понял. Тогда просто пиши мне потом отдельно, если что-то беспокоит».;Избегающий;2;Вы обходите трудную тему, но соглашаетесь с культурой молчания вместо работы с ней.;;;;;;;;
simulator;option;16;Команда молчит на встречах;На встречах вы видите, что люди не спорят и почти не дают рисков, хотя потом обсуждают их кулуарно.;Коллега после встречи: «Я просто не видел смысла говорить это при всех».;2;«Удобно. На встрече молчим, а потом критикуем за спиной — отличный процесс».;Защитный;3;Вы вскрываете проблему, но делаете это через стыжение, которое только усилит закрытость.;;;;;;;;
simulator;option;16;Команда молчит на встречах;На встречах вы видите, что люди не спорят и почти не дают рисков, хотя потом обсуждают их кулуарно.;Коллега после встречи: «Я просто не видел смысла говорить это при всех».;3;«Для меня это сигнал, что на встрече нет ощущения безопасности. Хочу понять, что именно делает прямой разговор неудобным».;Зрелый;3;Вы идете не в претензию к человеку, а в разбор самой среды взаимодействия.;;;;;;;;
simulator;option;16;Команда молчит на встречах;На встречах вы видите, что люди не спорят и почти не дают рисков, хотя потом обсуждают их кулуарно.;Коллега после встречи: «Я просто не видел смысла говорить это при всех».;4;«Мне важно, чтобы риски звучали в момент обсуждения. Иначе мы делаем вид, что согласны, а потом теряем время».;Зрелый;2;Вы мягко, но ясно обозначаете цену командного молчания.;;;;;;;;
simulator;option;17;Жесткое несогласие с равным;Коллега на вашем уровне категорично отстаивает решение, которое вы считаете слабым, и делает это довольно напористо.;Коллега: «Это уже решено. Не вижу смысла снова заходить в дискуссию».;1;«Окей, тогда не буду дальше спорить. Пусть будет как решили».;Избегающий;2;Вы отказываетесь от влияния, чтобы скорее выйти из давления.;;;;;;;;
simulator;option;17;Жесткое несогласие с равным;Коллега на вашем уровне категорично отстаивает решение, которое вы считаете слабым, и делает это довольно напористо.;Коллега: «Это уже решено. Не вижу смысла снова заходить в дискуссию».;2;«Тогда и ответственность за последствия тоже будет целиком на тебе».;Защитный;3;Вы переводите спор в персональную ответственность как в оружие, а не как в предмет разговора.;;;;;;;;
simulator;option;17;Жесткое несогласие с равным;Коллега на вашем уровне категорично отстаивает решение, которое вы считаете слабым, и делает это довольно напористо.;Коллега: «Это уже решено. Не вижу смысла снова заходить в дискуссию».;3;«Я вижу, что ты уже определился. Но у меня есть один риск, который напрямую влияет на результат, и я хочу его коротко озвучить».;Зрелый;3;Вы не боретесь за право спорить бесконечно, а добиваетесь места для ключевого аргумента.;;;;;;;;
simulator;option;17;Жесткое несогласие с равным;Коллега на вашем уровне категорично отстаивает решение, которое вы считаете слабым, и делает это довольно напористо.;Коллега: «Это уже решено. Не вижу смысла снова заходить в дискуссию».;4;«Если решение уже финализировано, давай хотя бы зафиксируем, какие риски мы осознанно принимаем».;Зрелый;2;Вы сохраняете взрослую позицию даже тогда, когда не контролируете финальный выбор.;;;;;;;;
simulator;option;18;Ваши чувства обесценивают;После тяжелого разговора с клиентом вы пытаетесь обозначить нагрузку, но руководитель сразу сводит все к вашей чувствительности.;Руководитель: «Не принимай так близко к сердцу. Это просто работа».;1;«Да, наверное, я просто слишком остро реагирую. Забудем».;Избегающий;3;Вы быстро обесцениваете собственный опыт, чтобы не выглядеть сложным собеседником.;;;;;;;;
